,0
1065,100
1066,080
1067,086
1068,105
1069,090
1071,063
1072,096
1074,089
1076,090
1077,102
1078,051
1080,092
1081,094
1084,096
1086,108
1087,105
1090,081
1091,105
1093,116
1094,077
1096,061
1097,110
1098,110
1099,094
1101,051
1102,118
1104,100
1106,095
1111,133
1112,097
1113,110
1114,090
1116,120
1117,155
1119,091
1120,090
1121,090
1122,129
1123,103
1126,103
1128,014
1129,095
1130,103
1131,073
1132,094
1133,095
1134,094
1135,097
1136,098
1137,098
1141,119
1142,076
1143,104
1145,148
1146,078
1147,102
1149,094
1151,098
1152,108
1153,128
1154,110
1155,122
1156,177
1157,104
1158,135
1159,127
1160,114
1161,098
1164,087
1166,151
1167,078
1169,073
1170,125
1171,126
1172,101
1175,011
1176,011
1177,022
1182,093
1183,095
1185,105
1187,104
1188,104
1190,117
1194,101
1195,120
1196,114
1197,093
1199,104
1200,099
1203,009
1204,103
1205,126
1206,081
1207,046
1210,104
1211,092
1215,142
1216,131
1217,113
1218,083
1219,067
1220,063
1223,082
1224,119
1226,098
1227,098
1228,085
1229,084
1230,082
1232,111
1234,145
1235,125
1236,108
1237,081
1241,108
1242,141
1243,117
1244,074
1245,096
1247,082
1248,075
1250,077
1251,060
1252,107
1254,156
1255,110
1256,116
1257,148
1258,126
1259,135
1260,110
1261,129
1262,132
1263,118
1265,166
1266,112
1267,164
1269,102
1271,121
1272,087
1273,095
1274,086
1275,106
1276,121
1279,115
1280,098
1281,106
1283,094
1285,085
1286,121
1287,121
1288,113
1290,089
1292,129
1293,099
1294,105
1295,116
1302,115
1309,071
1310,075
1311,135
1312,088
1317,087
1318,063
1319,062
1320,062
1322,112
1324,113
1325,082
1327,025
1329,098
1331,087
1333,063
1334,112
1337,127
1339,111
1340,063
1342,092
1343,105
1344,146
1345,096
1347,090
1348,114
1349,101
1351,080
1352,084
1353,066
1354,055
1355,098
1356,065
1357,092
1358,099
1360,059
1361,119
1362,087
1363,106
1364,087
1365,112
1366,088
1367,105
1368,101
1369,086
1370,086
1371,091
1372,099
1373,104
1374,086
1375,104
1378,047
1379,056
1380,061
1381,034
1383,158
1384,118
1385,127
1387,130
1388,115
1394,086
1395,087
1396,109
1397,151
1398,106
1400,130
1401,069
1402,077
1403,110
1405,102
1407,088
1408,106
1409,091
1410,098
1411,103
1414,089
1416,108
1418,104
1419,124
1420,095
1421,112
1423,096
1424,172
1425,124
1426,090
1427,095
1428,085
1429,051
1438,137
1443,057
1446,098
1449,091
1450,088
1451,069
1452,120
1453,098
1456,098
1457,073
1458,066
1459,062
1460,056
1461,118
1464,110
1467,114
1468,112
1469,105
1474,092
1476,117
1477,137
1478,084
1480,052
1481,096
1482,112
1484,090
1485,106
1486,106
1489,116
1492,097
1493,100
1497,127
1498,096
1499,088
1500,045
1501,008
1502,101
1504,012
1505,069
1506,088
1507,091
1509,103
1510,088
1512,075
1513,090
1514,090
1515,097
1516,067
1517,112
1520,102
1521,114
1524,107
1527,110
1528,014
1530,078
1531,080
1542,108
1543,067
1544,040
1545,081
1546,120
1547,101
1548,114
1550,095
1551,090
1552,045
1556,099
1557,093
1558,082
1559,096
1562,096
1563,059
1564,058
1567,102
1568,107
1569,156
1570,082
1571,118
1572,133
1573,153
1574,135
1575,117
1576,103
1578,093
1579,082
1580,115
1581,151
1582,103
1583,117
1585,064
1588,100
1589,081
1592,070
1593,052
1595,161
1598,097
1601,055
1602,078
1603,103
1604,108
1605,075
1606,113
1607,098
1609,100
1611,091
1612,093
1614,081
1615,090
1617,113
1618,097
1620,104
1621,116
1623,121
1628,112
1631,066
1632,085
1633,084
1634,077
1635,097
1636,073
1637,107
1642,091
1645,076
1648,081
1649,110
1650,090
1651,094
1654,078
1655,097
1656,086
1657,086
1660,094
1661,083
1662,043
1663,100
1665,092
1667,149
1668,093
1670,091
1671,088
1672,100
1673,094
1674,111
1675,071
1676,053
1677,101
1678,146
1679,093
1682,107
1683,156
1684,082
1685,137
1686,079
1688,092
1689,128
1690,101
1692,102
1693,102
1694,096
1696,062
1697,056
1698,099
1700,083
1701,140
1702,062
1704,070
1705,066
1707,074
1708,050
1709,069
1713,094
1714,088
1715,076
1716,107
1717,090
1718,079
1719,136
1721,099
1722,097
1723,088
1724,137
1725,087
1726,108
1727,094
1730,123
1732,128
1733,157
1734,114
1735,127
1737,127
1739,102
1740,124
1741,132
1746,113
1747,093
1748,113
1749,096
1750,090
1751,133
1752,090
1753,069
1754,023
1755,023
1756,165
1757,185
1758,174
1759,176
1760,166
1761,145
1762,109
1763,118
1764,154
1766,115
1775,090
1776,108
1777,134
1778,107
1779,111
1782,087
1783,112
1785,107
1786,095
1787,165
1788,091
1790,106
1791,121
1793,200
1795,093
1798,118
1800,120
1801,090
1803,099
1804,090
1805,107
1806,089
1807,169
1808,148
1809,083
1810,096
1811,099
1812,095
1813,088
1814,094
1816,115
1817,113
1818,093
1819,093
1820,092
1821,098
1822,065
1823,127
1824,105
1825,097
1827,114
1829,134
1831,142
1832,105
1833,105
1834,110
1835,094
1836,104
1837,126
1838,094
1840,069
1841,082
1842,086
1843,086
1846,103
1847,094
1849,103
1850,097
1851,084
1852,098
1853,097
1854,068
1855,027
1858,046
1859,046
1860,046
1862,042
1863,092
1865,109
1868,046
1874,089
1876,092
1877,162
1878,119
1879,099
1884,097
1885,100
1886,102
1887,094
1888,092
1889,097
1891,093
1892,162
1893,085
1894,110
1895,170
1896,165
1898,141
1899,088
1901,052
1902,090
1903,081
1904,091
1908,107
1909,106
1912,092
1914,140
1915,127
1916,082
1917,098
1918,069
1919,090
1921,092
1922,103
1925,080
1926,065
1927,133
1928,153
1929,100
1930,109
1931,102
1932,124
1934,105
1935,120
1936,134
1937,151
1938,141
1939,120
1940,106
1941,109
1942,105
1944,089
1945,123
1950,119
1952,085
1953,082
1956,052
1957,106
1958,048
1960,073
1961,122
1964,074
1965,095
1966,073
1968,079
1969,094
1970,143
1971,081
1972,196
1973,084
1974,028
1975,027
1976,098
1977,119
1979,090
1980,109
1982,093
1983,092
1984,049
1985,090
1986,102
1987,082
1988,128
1989,090
1992,074
1993,094
1996,087
1997,108
1999,151
2001,040
2002,109
2004,091
2006,163
2007,066
2008,093
2009,124
2011,085
2012,059
2013,103
2014,105
2016,102
2018,107
2021,052
2022,081
2023,099
2024,069
2025,088
2026,120
2028,095
2029,100
2031,091
2034,110
2036,124
2037,096
2038,069
2039,091
2040,096
2041,103
2042,102
2043,096
2045,098
2046,133
2047,124
2049,127
2053,102
2054,134
2055,108
2059,133
2060,103
2062,058
2063,079
2064,101
2065,078
2066,096
2067,103
2069,081
2070,095
2071,117
2075,110
2076,025
2077,108
2078,099
2079,106
2080,103
2084,092
2085,090
2086,060
2088,089
2089,054
2091,106
2093,061
2094,150
2095,080
2097,124
2099,098
2101,082
2103,099
2104,092
2107,029
2108,109
2109,091
2110,033
2111,102
2113,114
2114,146
2115,094
2118,075
2119,158
2122,061
2123,090
2127,072
2131,095
2132,100
2133,097
2135,118
2138,092
2140,070
2141,110
2143,058
2144,091
2145,060
2146,086
2147,091
2148,063
2149,133
2150,103
2151,117
2152,181
2153,118
2154,101
2155,204
2157,029
2159,092
2161,094
2162,118
2163,098
2164,090
2165,093
2167,125
2169,106
2170,114
2172,040
2173,083
2174,117
2175,099
2177,060
2178,060
2179,091
2181,096
2182,102
2183,090
2184,123
2185,103
2187,137
2188,090
2189,112
2190,049
2191,061
2192,078
2194,124
2195,060
2197,104
2198,083
2200,163
2202,119
2204,074
2205,102
2208,083
2212,088
2213,086
2216,066
2220,090
2221,134
2222,092
2223,145
2224,105
2225,095
2226,093
2227,093
2228,084
2229,112
2231,093
2232,081
2233,098
2234,123
2236,132
2239,074
2240,087
2243,105
2244,109
2245,096
2247,061
2248,088
2250,125
2251,118
2252,113
2253,100
2254,079
2255,086
2256,061
2257,054
2258,066
2259,087
2260,070
2262,032
2264,085
2265,091
2266,105
2267,093
2268,065
2269,115
2270,091
2272,058
2273,051
2274,139
2275,112
2276,135
2277,099
2278,103
2279,116
2280,072
2281,086
2283,104
2286,097
2287,092
2290,161
2291,104
2293,093
2294,035
2295,093
2296,099
2297,106
2300,047
2301,052
2302,097
2303,085
2305,135
2307,075
2308,110
2309,088
2310,091
2312,134
2314,082
2315,087
2316,106
2317,109
2318,097
2319,088
2321,098
2322,110
2323,088
2324,123
2325,104
2326,128
2328,091
2329,132
2330,088
2332,058
2333,057
2334,126
2335,101
2336,108
2338,111
2339,135
2341,096
2342,098
2343,098
2344,098
2345,102
2348,086
2349,148
2351,167
2352,096
2353,109
2354,070
2355,078
2356,079
2357,078
2358,062
2361,096
2362,095
2363,126
2364,097
2365,107
2366,118
2367,130
2368,154
2369,090
2370,107
2371,095
2372,096
2377,052
2378,087
2379,103
2382,109
2383,098
2384,101
2386,103
2388,110
2389,104
2390,085
2391,101
2392,129
2393,163
2394,100
2396,078
2397,058
2398,047
2399,110
2400,145
2401,058
2403,056
2404,022
2405,095
2407,161
2408,141
2410,115
2413,101
2414,096
2415,068
2416,058
2417,090
2418,126
2420,106
2422,092
2423,103
2424,082
2426,071
2432,121
2433,077
2434,091
2442,077
2444,086
2445,103
2447,042
2449,060
2450,111
2452,103
2453,129
2454,113
2455,106
2456,105
2459,101
2460,091
2462,088
2463,137
2464,022
2465,130
2466,089
2468,110
2469,112
2470,135
2471,148
2473,100
2475,101
2476,096
2477,115
2479,096
2480,090
2481,103
2482,075
2483,099
2484,099
2487,093
2488,090
2489,090
2490,101
2493,145
2495,095
2496,092
2497,102
2499,090
2500,144
2502,137
2505,098
2506,109
2507,150
2510,117
2515,093
2516,096
2517,133
2518,071
2519,080
2520,057
2521,098
2522,110
2527,131
2532,095
2533,102
2536,066
2537,065
2539,114
2540,096
2541,097
2542,106
2544,082
2545,078
2546,067
2547,084
2548,095
2549,120
2550,149
2551,126
2552,090
2553,143
2554,113
2556,106
2558,155
2560,057
2561,121
2564,091
2565,100
2566,101
2570,137
2571,138
2572,125
2574,095
2575,154
2577,106
2578,116
2579,116
2580,097
2581,093
2583,129
2584,111
2585,117
2586,065
2588,158
2589,110
2590,108
2591,079
2592,095
2594,081
2596,099
2597,086
2598,073
2599,070
2601,068
2602,086
2603,138
2604,110
2608,078
2609,127
2610,129
2611,091
2613,179
2614,113
2615,079
2619,105
2620,093
2621,098
2622,094
2623,079
2624,096
2626,067
2627,099
2628,062
2629,055
2630,101
2631,088
2632,095
2634,087
2636,083
2637,090
2639,100
2641,073
2642,135
2643,151
2646,109
2650,109
2653,089
2654,099
2655,086
2657,086
2659,085
2660,129
2661,098
2662,093
2663,111
2664,058
2665,095
2666,089
2667,097
2668,089
2669,090
2670,104
2671,119
2673,092
2674,107
2677,124
2679,087
2680,091
2683,094
2686,118
2688,086
2690,102
2691,122
2692,126
2694,117
2696,065
2698,118
2700,126
2702,087
2703,156
2704,097
2706,096
2707,089
2709,097
2710,040
2711,143
2713,081
2717,088
2718,087
2721,096
2722,104
2723,129
2724,124
2725,118
2726,111
2727,125
2728,120
2729,091
2733,137
2734,104
2736,080
2737,127
2740,141
2742,117
2743,140
2746,095
2747,093
2748,097
2752,118
2755,100
2756,118
2757,150
2759,044
2760,054
2762,170
2766,118
2767,126
2768,128
2769,104
2770,105
2772,086
2773,094
2775,106
2776,092
2778,108
2779,089
2780,095
2781,103
2782,092
2783,102
2784,126
2787,087
2789,138
2790,073
2792,084
2793,111
2794,100
2795,119
2796,094
2798,086
2799,142
2801,095
2802,095
2803,080
2804,079
2805,081
2807,120
2809,061
2811,085
2812,104
2814,096
2815,091
2816,134
2817,093
2819,120
2820,083
2822,082
2823,088
2824,102
2826,101
2827,096
2829,097
2830,105
2831,101
2833,086
2834,088
2835,084
2836,089
2837,113
2838,110
2839,105
2840,116
2841,094
2842,110
2845,104
2847,116
2850,047
2851,102
2852,051
2853,143
2854,103
2855,104
2857,127
2858,083
2859,193
2860,176
2861,095
2862,149
2863,131
2865,079
2866,101
2867,097
2868,089
2870,091
2871,140
2874,085
2875,085
2876,150
2877,082
2878,117
2884,084
2885,106
2888,107
2889,090
2890,098
2891,082
2892,087
2893,054
2895,102
2896,114
2897,099
2898,139
2900,094
2901,088
2902,089
2903,093
2904,082
2905,117
2906,091
2907,091
2908,097
2909,089
2910,106
2911,116
2912,128
2915,081
2916,088
2918,080
2919,100
2920,096
2921,080
2922,067
2923,119
2924,075
2925,112
2927,135
2929,110
2930,094
2931,091
2932,121
2934,108
2935,104
2937,124
2939,013
2942,087
2943,128
2944,078
2945,072
2946,072
2947,078
2948,075
2949,140
2950,108
2951,097
2953,103
2956,095
2957,086
2959,104
2961,101
2962,094
2963,098
2966,114
2967,099
2968,094
2969,103
2972,089
2973,099
2974,116
2975,102
2976,129
2978,087
2979,148
2980,103
2981,089
2982,119
2983,106
2984,090
2985,118
2986,095
2988,101
2990,123
2991,127
2992,116
2993,119
2994,099
2995,090
2996,090
2997,153
3001,122
3003,109
3005,125
3006,106
3009,141
3012,106
3019,103
3023,122
3026,087
3027,116
3029,045
3031,102
3032,107
3034,148
3035,116
3037,088
3038,099
3039,100
3040,099
3041,072
3042,134
3043,087
3044,091
3045,088
3046,096
3047,107
3048,108
3049,105
3050,105
3051,127
3052,137
3054,077
3055,108
3057,071
3059,093
3060,096
3062,099
3063,102
3064,129
3065,130
3066,115
3067,113
3068,088
3070,098
3072,140
3073,092
3074,127
3075,127
3076,101
3078,101
3079,112
3080,091
3082,084
3084,105
3085,088
3086,141
3089,068
3091,162
3092,163
3093,147
3094,142
3095,143
3096,093
3097,086
3099,068
3100,065
3101,058
3103,154
3104,044
3105,092
3106,090
3107,124
3108,091
3109,076
3110,155
3111,101
3112,132
3114,092
3115,022
3116,132
3117,094
3120,132
3121,094
3123,077
3124,107
3127,103
3128,142
3129,128
3130,105
3131,097
3132,090
3133,084
3134,069
3135,058
3136,097
3137,080
3138,071
3139,071
3140,085
3141,075
3142,059
3144,119
3145,078
3146,069
3148,067
3150,103
3151,109
3153,062
3154,061
3155,081
3156,069
3157,134
3158,080
3159,053
3160,084
3161,086
3162,044
3163,131
3165,094
3166,072
3167,074
3168,071
3169,077
3170,070
3171,077
3172,087
3173,067
3174,071
3175,062
3176,102
3177,062
3178,058
3179,083
3181,135
3182,124
3185,069
3186,079
3187,181
3188,060
3189,055
3190,063
3191,128
3192,098
3193,069
3194,078
3195,214
3196,090
3197,067
3198,064
3199,064
3200,079
3201,090
3202,133
3203,125
3204,092
3205,090
3206,080
3207,070
3208,065
3209,060
3210,062
3211,017
3215,098
3216,096
3217,097
3218,101
3220,135
3221,075
3222,079
3224,099
3225,101
3229,090
3230,084
3231,070
3232,137
3233,133
3234,145
3235,091
3236,052
3237,123
3243,113
3244,107
3245,128
3247,101
3248,104
3249,094
3250,096
3251,107
3253,092
3255,095
3256,106
3257,090
3260,106
3262,138
3264,110
3268,100
3270,139
3271,130
3272,132
3273,133
3274,126
3275,091
3276,173
3277,105
3278,148
3280,192
3281,151
3282,209
3283,171
3284,120
3285,122
